fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,is_suppressed
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Pneumonia,Not Admitted,5,222.0,3.7,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,87,144.0,2.4,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,15,150.0,2.5,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,411.0,6.85,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,9,180.0,3.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,22,213.0,3.55,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,7,222.0,3.7,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,138,228.0,3.8,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,24,372.0,6.2,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,554,78.0,1.3,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,146,327.0,5.45,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,198.0,3.3,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,581,120.0,2.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,227,300.0,5.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,1758,156.0,2.6,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,400,192.0,3.2,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,13347,528.0,8.8,1,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Asthma,Admitted,2250,564.0,9.4,1,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,0,1506.0,25.1,1,1
2021-2022,2021,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,4363,462.0,7.7,1,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,11251,768.0,12.8,1,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Trauma,Admitted,29489,588.0,9.8,1,0
2021-2022,2021,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,17236,660.0,11.0,1,0
2021-2022,2021,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,88,180.0,3.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,0,126.0,2.1,0,1
2021-2022,2021,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,36,357.0,5.95,0,0
2021-2022,2021,CTAS II - Emergent,2,Death,Trauma,Not Admitted,49,288.0,4.8,0,0
2021-2022,2021,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,30,324.0,5.4,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,463,288.0,4.8,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,9616,240.0,4.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,7,204.0,3.4,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,28661,210.0,3.5,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,9007,264.0,4.4,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,182660,186.0,3.1,0,0
2021-2022,2021,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,63926,210.0,3.5,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,146,66.0,1.1,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,27,216.0,3.6,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,85,288.0,4.8,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,13,336.0,5.6,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,1319,204.0,3.4,0,0
2021-2022,2021,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,230,270.0,4.5,0,0
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,104,315.0,5.25,0,0
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,122,222.0,3.7,0,0
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,926,162.0,2.7,0,0
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Pneumonia,Not Admitted,106,276.0,4.6,0,0
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Trauma,Not Admitted,6290,156.0,2.6,0,0
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Unintentional Falls,Not Admitted,1728,180.0,3.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Acute Myocardial Infarction,Not Admitted,4487,138.0,2.3,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Asthma,Not Admitted,317,348.0,5.8,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Influenzal Pneumonia,Not Admitted,0,462.0,7.7,0,1
2021-2022,2021,CTAS II - Emergent,2,Transferred,Motor Vehicle Collisions,Not Admitted,2439,228.0,3.8,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Pneumonia,Not Admitted,1150,384.0,6.4,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Trauma,Not Admitted,14647,276.0,4.6,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Unintentional Falls,Not Admitted,7147,330.0,5.5,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS II - Emergent,2,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Admitted,Acute Myocardial Infarction,Admitted,3592,666.0,11.1,1,0
2021-2022,2021,Less urgent,3,Admitted,Acute Myocardial Infarction,Admitted,311,582.0,9.7,1,0
2021-2022,2021,Non-urgent,3,Admitted,Acute Myocardial Infarction,Admitted,39,516.0,8.6,1,0
2021-2022,2021,Unknown,3,Admitted,Acute Myocardial Infarction,Admitted,68,240.0,4.0,1,0
2021-2022,2021,CTAS III - Urgent,3,Admitted,Asthma,Admitted,882,660.0,11.0,1,0
2021-2022,2021,Less urgent,3,Admitted,Asthma,Admitted,27,354.0,5.9,1,0
2021-2022,2021,Non-urgent,3,Admitted,Asthma,Admitted,7,450.0,7.5,1,0
2021-2022,2021,Unknown,3,Admitted,Asthma,Admitted,15,246.0,4.1,1,0
2021-2022,2021,CTAS III - Urgent,3,Admitted,Influenzal Pneumonia,Admitted,9,768.0,12.8,1,0
2021-2022,2021,Less urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,0.0,0.0,1,1
2021-2022,2021,Non-urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,0.0,0.0,1,1
2021-2022,2021,Unknown,3,Admitted,Influenzal Pneumonia,Admitted,0,132.0,2.2,1,1
2021-2022,2021,CTAS III - Urgent,3,Admitted,Motor Vehicle Collisions,Admitted,2394,480.0,8.0,1,0
2021-2022,2021,Less urgent,3,Admitted,Motor Vehicle Collisions,Admitted,277,420.0,7.0,1,0
2021-2022,2021,Non-urgent,3,Admitted,Motor Vehicle Collisions,Admitted,47,342.0,5.7,1,0
2021-2022,2021,Unknown,3,Admitted,Motor Vehicle Collisions,Admitted,46,198.0,3.3,1,0
2021-2022,2021,CTAS III - Urgent,3,Admitted,Pneumonia,Admitted,9424,792.0,13.2,1,0
2021-2022,2021,Less urgent,3,Admitted,Pneumonia,Admitted,599,558.0,9.3,1,0
2021-2022,2021,Non-urgent,3,Admitted,Pneumonia,Admitted,60,420.0,7.0,1,0
2021-2022,2021,Unknown,3,Admitted,Pneumonia,Admitted,120,210.0,3.5,1,0
2021-2022,2021,CTAS III - Urgent,3,Admitted,Trauma,Admitted,48227,618.0,10.3,1,0
2021-2022,2021,Less urgent,3,Admitted,Trauma,Admitted,5615,462.0,7.7,1,0
2021-2022,2021,Non-urgent,3,Admitted,Trauma,Admitted,822,378.0,6.3,1,0
2021-2022,2021,Unknown,3,Admitted,Trauma,Admitted,321,270.0,4.5,1,0
2021-2022,2021,CTAS III - Urgent,3,Admitted,Unintentional Falls,Admitted,37604,642.0,10.7,1,0
2021-2022,2021,Less urgent,3,Admitted,Unintentional Falls,Admitted,3820,480.0,8.0,1,0
2021-2022,2021,Non-urgent,3,Admitted,Unintentional Falls,Admitted,503,396.0,6.6,1,0
2021-2022,2021,Unknown,3,Admitted,Unintentional Falls,Admitted,190,306.0,5.1,1,0
2021-2022,2021,CTAS III - Urgent,3,Death,Acute Myocardial Infarction,Not Admitted,30,276.0,4.6,0,0
2021-2022,2021,Less urgent,3,Death,Acute Myocardial Infarction,Not Admitted,0,168.0,2.8,0,1
2021-2022,2021,Non-urgent,3,Death,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Death,Acute Myocardial Infarction,Not Admitted,9,42.0,0.7,0,0
2021-2022,2021,CTAS III - Urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Less urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Non-urgent,3,Death,Asthma,Not Admitted,0,84.0,1.4,0,1
2021-2022,2021,Unknown,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Less urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Non-urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Less urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,117.0,1.95,0,1
2021-2022,2021,Non-urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Death,Motor Vehicle Collisions,Not Admitted,0,180.0,3.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Death,Pneumonia,Not Admitted,14,426.0,7.1,0,0
2021-2022,2021,Less urgent,3,Death,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Non-urgent,3,Death,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Death,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Death,Trauma,Not Admitted,39,402.0,6.7,0,0
2021-2022,2021,Less urgent,3,Death,Trauma,Not Admitted,6,147.0,2.45,0,0
2021-2022,2021,Non-urgent,3,Death,Trauma,Not Admitted,0,90.0,1.5,0,1
2021-2022,2021,Unknown,3,Death,Trauma,Not Admitted,20,69.0,1.15,0,0
2021-2022,2021,CTAS III - Urgent,3,Death,Unintentional Falls,Not Admitted,30,462.0,7.7,0,0
2021-2022,2021,Less urgent,3,Death,Unintentional Falls,Not Admitted,0,357.0,5.95,0,1
2021-2022,2021,Non-urgent,3,Death,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Death,Unintentional Falls,Not Admitted,0,96.0,1.6,0,1
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,213,411.0,6.85,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,28,333.0,5.55,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,19,90.0,1.5,0,0
2021-2022,2021,Unknown,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,7,342.0,5.7,0,0
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Asthma,Not Admitted,16927,192.0,3.2,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Asthma,Not Admitted,6090,138.0,2.3,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Asthma,Not Admitted,1274,114.0,1.9,0,0
2021-2022,2021,Unknown,3,Discharged Home,Asthma,Not Admitted,203,96.0,1.6,0,0
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,28,252.0,4.2,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,7,258.0,4.3,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,0,84.0,1.4,0,1
2021-2022,2021,Unknown,3,Discharged Home,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,64405,168.0,2.8,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,29591,138.0,2.3,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,4443,120.0,2.0,0,0
2021-2022,2021,Unknown,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,552,102.0,1.7,0,0
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Pneumonia,Not Admitted,20185,234.0,3.9,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Pneumonia,Not Admitted,5707,174.0,2.9,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Pneumonia,Not Admitted,1195,150.0,2.5,0,0
2021-2022,2021,Unknown,3,Discharged Home,Pneumonia,Not Admitted,157,132.0,2.2,0,0
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Trauma,Not Admitted,731133,150.0,2.5,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Trauma,Not Admitted,568538,126.0,2.1,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Trauma,Not Admitted,128699,108.0,1.8,0,0
2021-2022,2021,Unknown,3,Discharged Home,Trauma,Not Admitted,7366,84.0,1.4,0,0
2021-2022,2021,CTAS III - Urgent,3,Discharged Home,Unintentional Falls,Not Admitted,280679,174.0,2.9,0,0
2021-2022,2021,Less urgent,3,Discharged Home,Unintentional Falls,Not Admitted,169765,138.0,2.3,0,0
2021-2022,2021,Non-urgent,3,Discharged Home,Unintentional Falls,Not Admitted,26457,126.0,2.1,0,0
2021-2022,2021,Unknown,3,Discharged Home,Unintentional Falls,Not Admitted,2089,96.0,1.6,0,0
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,8,255.0,4.25,0,0
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,66.0,1.1,0,1
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,12.0,0.2,0,1
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,120.0,2.0,0,1
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,108.0,1.8,0,1
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,96,264.0,4.4,0,0
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,34,159.0,2.65,0,0
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,15,132.0,2.2,0,0
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,0,48.0,0.8,0,1
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,14,240.0,4.0,0,0
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,210.0,3.5,0,1
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,2292,240.0,4.0,0,0
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,754,186.0,3.1,0,0
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,253,132.0,2.2,0,0
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Trauma,Not Admitted,32,66.0,1.1,0,0
2021-2022,2021,CTAS III - Urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,597,288.0,4.8,0,0
2021-2022,2021,Less urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,179,204.0,3.4,0,0
2021-2022,2021,Non-urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,53,144.0,2.4,0,0
2021-2022,2021,Unknown,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,11,90.0,1.5,0,0
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,46,360.0,6.0,0,0
2021-2022,2021,Less urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,6,276.0,4.6,0,0
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,174.0,2.9,0,1
2021-2022,2021,Unknown,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,144.0,2.4,0,1
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Asthma,Not Admitted,252,186.0,3.1,0,0
2021-2022,2021,Less urgent,3,Not Seen Or Left,Asthma,Not Admitted,83,144.0,2.4,0,0
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Asthma,Not Admitted,13,180.0,3.0,0,0
2021-2022,2021,Unknown,3,Not Seen Or Left,Asthma,Not Admitted,11,48.0,0.8,0,0
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Less urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,Unknown,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,2687,168.0,2.8,0,0
2021-2022,2021,Less urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1302,162.0,2.7,0,0
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,221,138.0,2.3,0,0
2021-2022,2021,Unknown,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,75,42.0,0.7,0,0
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,178,294.0,4.9,0,0
2021-2022,2021,Less urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,49,162.0,2.7,0,0
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,9,252.0,4.2,0,0
2021-2022,2021,Unknown,3,Not Seen Or Left,Pneumonia,Not Admitted,9,132.0,2.2,0,0
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Trauma,Not Admitted,31508,156.0,2.6,0,0
2021-2022,2021,Less urgent,3,Not Seen Or Left,Trauma,Not Admitted,25663,144.0,2.4,0,0
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Trauma,Not Admitted,7735,108.0,1.8,0,0
2021-2022,2021,Unknown,3,Not Seen Or Left,Trauma,Not Admitted,2487,30.0,0.5,0,0
2021-2022,2021,CTAS III - Urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,9181,162.0,2.7,0,0
2021-2022,2021,Less urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,6302,144.0,2.4,0,0
2021-2022,2021,Non-urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,1111,129.0,2.15,0,0
2021-2022,2021,Unknown,3,Not Seen Or Left,Unintentional Falls,Not Admitted,276,48.0,0.8,0,0
2021-2022,2021,CTAS III - Urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,858,270.0,4.5,0,0
2021-2022,2021,Less urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,112,339.0,5.65,0,0
2021-2022,2021,Non-urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,19,276.0,4.6,0,0
